id,issuer,sector,portal,formType,filingDate,state,targetRaise,maxRaise,committed,valuationCap,securityType,investorCount,daysRemaining,monthlyRevenue,revenueGrowth,tractionScore,visibilityScore,termsScore,railControlScore,secSearchUrl,isSynthetic,syntheticLabel,dataQualityStatus,edgeCaseType,edgeCaseNote
CR-8201,Nautilus Grid Analytics,Climate Tech,Republic,Form C,2026-04-18,CA,125000,1240000,842000,12000000,SAFE,1186,17,146000,38.4,91,87,76,68,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,Baseline high-traction synthetic campaign.
CR-8202,LedgerLane Health,Health Tech,Wefunder,Form C/A,2026-03-29,NY,75000,980000,391000,9500000,Crowd Note,642,24,89000,22.7,74,78,81,72,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,Amended filing with moderate traction.
CR-8203,Aurora Pantry Systems,Consumer,StartEngine,Form C,2026-02-14,TX,100000,1500000,1190000,18000000,Common Equity,2211,9,238000,31.2,88,93,69,64,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,High-visibility consumer deal.
CR-8204,CipherForge Compliance,Fintech,Netcapital,Form C,2026-05-06,MA,50000,750000,214000,7000000,SAFE,336,41,62000,44.9,70,66,84,79,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,Early fintech campaign with strong growth but lower visibility.
CR-8205,Meadow Robotics,Industrial AI,Republic,Form C/A,2026-01-27,PA,150000,2000000,1574000,24000000,Preferred Equity,1745,13,304000,29.6,93,89,71,61,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,Large industrial AI raise with strong committed capital.
CR-8206,Northstar Learning Lab,Education,Wefunder,Form C,2026-04-02,IL,25000,500000,184000,5400000,Revenue Share,487,32,41000,18.3,65,72,88,76,https://www.sec.gov/edgar/search/,true,Synthetic demo record,normal,normal,Smaller revenue-share education campaign.
CR-8207,HarborFi Community Bank,Fintech,Republic,Form C,2026-05-19,WA,100000,1200000,0,11000000,SAFE,0,58,0,0.0,12,18,57,69,https://www.sec.gov/edgar/search/,true,Synthetic demo record,warning,zero_revenue,Pre-launch style row with no revenue and no committed capital.
CR-8208,Solstice Battery Exchange,Energy,StartEngine,Form C/A,2025-11-04,CO,200000,1240000,1315000,30000000,Preferred Equity,3020,-4,512000,12.1,96,97,58,86,https://www.sec.gov/edgar/search/,true,Synthetic demo record,warning,deadline_expired,Expired campaign edge case with committed amount above maximum.
CR-8209,ParcelMesh Logistics,Supply Chain,Unknown Portal,Form C,2026-03-11,NJ,50000,500000,88000,6500000,Crowd Note,118,27,54000,9.5,42,39,74,55,https://www.sec.gov/edgar/search/,true,Synthetic demo record,warning,portal_unknown,Unknown portal tests filter fallback and rail-control scoring defaults.
CR-8210,KinWell Diagnostics,Health Tech,Wefunder,Form C,2024-12-20,FL,75000,900000,455000,14000000,SAFE,802,64,112000,19.4,71,73,67,70,https://www.sec.gov/edgar/search/,true,Synthetic demo record,warning,stale_filing,Older filing date tests stale-source labeling.
CR-8211,UrbanLoop Mobility,Transportation,Netcapital,Form C,2026-06-01,MI,100000,1000000,650000,17500000,TBD,974,21,156000,28.6,77,79,0,82,https://www.sec.gov/edgar/search/,true,Synthetic demo record,error,malformed_terms,TBD security type should trigger terms validation warning.
CR-8212,Alta Commons Kitchen,Consumer,Republic,Form C/A,2026-05-28,OR,25000,250000,112000,4200000,Revenue Share,411,5,,15.2,59,67,64,80,https://www.sec.gov/edgar/search/,true,Synthetic demo record,error,missing_metric,Blank monthlyRevenue tests missing metric handling in ETL and UI.
